City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Punuare,HN,2020-10-27 02:32:48,14.73,-85.97,71.56,87,100,3.51
212,Longview,US,2020-10-27 02:32:48,32.5,-94.74,55.99,93,90,9.17
213,Manggar,ID,2020-10-27 02:32:48,-2.88,108.27,79.54,81,100,4.47
214,Kavieng,PG,2020-10-27 02:32:48,-2.57,150.8,85.53,60,20,4.72
215,Yeppoon,AU,2020-10-27 02:32:49,-23.13,150.73,82.4,61,75,9.17
216,Coahuayana,MX,2020-10-27 02:30:30,18.73,-103.68,79.68,88,99,2.33
217,Sept-Iles,CA,2020-10-27 02:30:04,50.2,-66.38,30.99,100,90,5.82
218,Torbay,CA,2020-10-27 02:32:49,47.67,-52.73,37.99,59,90,8.05
219,Waverly,US,2020-10-27 02:30:07,42.74,-84.62,39.2,88,90,5.82
220,Aswan,EG,2020-10-27 02:32:50,24.09,32.91,73.78,32,0,10.49
221,Muhororo,UG,2020-10-27 02:32:50,0.94,30.76,62.82,96,91,1.66
222,Itapaci,BR,2020-10-27 02:31:19,-14.95,-49.55,73.15,85,100,2.04
223,Szczecinek,PL,2020-10-27 02:32:51,53.71,16.7,50.0,94,87,3.85
224,Jardim,BR,2020-10-27 02:32:51,-21.48,-56.14,68.77,90,100,4.23
225,Ilulissat,GL,2020-10-27 02:32:49,69.22,-51.1,19.4,73,100,6.93
226,Bajil,YE,2020-10-27 02:32:51,15.06,43.29,80.26,54,62,1.63
227,Abha,SA,2020-10-27 02:32:52,18.22,42.51,53.6,25,0,3.36
228,Cairns,AU,2020-10-27 02:30:08,-16.92,145.77,91.0,55,57,9.17
229,Hargeysa,SO,2020-10-27 02:32:52,9.56,44.06,58.73,73,29,8.61
230,Moa,CU,2020-10-27 02:32:52,20.66,-74.94,80.4,84,100,10.45
231,Whitehorse,CA,2020-10-27 02:32:26,60.72,-135.05,41.0,44,40,14.99
232,Husavik,IS,2020-10-27 02:32:52,66.04,-17.34,35.6,59,90,6.93
233,Rimbey,CA,2020-10-27 02:32:53,52.63,-114.24,35.01,86,90,10.29
